"","SRR9137553_GSM3823667_CON_1_Mus_musculus_RNA-Seq.fastq.gz.subread.BAM","SRR9137554_GSM3823668_CON_2_Mus_musculus_RNA-Seq.fastq.gz.subread.BAM","SRR9137555_GSM3823669_CON_3_Mus_musculus_RNA-Seq.fastq.gz.subread.BAM","SRR9137556_GSM3823670_CON_4_Mus_musculus_RNA-Seq.fastq.gz.subread.BAM","SRR9137557_GSM3823671_CON_5_Mus_musculus_RNA-Seq.fastq.gz.subread.BAM","SRR9137558_GSM3823672_CON_6_Mus_musculus_RNA-Seq.fastq.gz.subread.BAM","SRR9137559_GSM3823673_CON_7_Mus_musculus_RNA-Seq.fastq.gz.subread.BAM","SRR9137560_GSM3823674_CON_8_Mus_musculus_RNA-Seq.fastq.gz.subread.BAM","SRR9137565_GSM3823679_RIL_1_Mus_musculus_RNA-Seq.fastq.gz.subread.BAM","SRR9137566_GSM3823680_RIL_2_Mus_musculus_RNA-Seq.fastq.gz.subread.BAM","SRR9137567_GSM3823681_RIL_3_Mus_musculus_RNA-Seq.fastq.gz.subread.BAM","SRR9137568_GSM3823682_RIL_4_Mus_musculus_RNA-Seq.fastq.gz.subread.BAM"
"ENSMUSG00000099706",0,1,0,0,0,0,0,0,0,0,1,0
"ENSMUSG00000047330",1,0,2,0,0,3,0,0,0,0,0,0
"ENSMUSG00000101324",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000072978",0,0,0,1,0,0,0,0,0,0,0,0
"ENSMUSG00000046334",0,1,0,0,1,1,1,2,0,1,0,1
"ENSMUSG00002075801",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050711",0,1,0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000099562",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000077782",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000055067",18,19,23,38,30,12,24,14,18,15,24,21
"ENSMUSG00000054702",0,10,27,17,26,4,22,4,6,0,9,10
"ENSMUSG00000096474",55,67,198,113,124,64,112,70,55,53,48,64
"ENSMUSG00000102235",0,0,2,0,0,0,0,0,0,0,0,0
"ENSMUSG00000026492",73,88,166,118,118,87,100,133,120,82,143,94
"ENSMUSG00000082395",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000038949",5,8,35,20,26,20,12,12,8,5,14,20
"ENSMUSG00000026043",14,32,27,29,64,29,68,41,38,37,81,38
"ENSMUSG00000046101",1,0,0,0,0,2,2,1,2,0,0,0
"ENSMUSG00002074901",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000098234",96,118,336,193,166,108,157,157,59,60,110,95
"ENSMUSG00000093178",0,0,0,1,2,0,1,1,2,1,0,1
"ENSMUSG00000099032",12,8,26,41,23,13,30,33,11,11,28,10
